alpha,threshold,cooldown,tp,fp,fn,tn
0.1,0.2,1,79,116,54,4751
0.1,0.2,5,25,22,108,4845
0.1,0.2,20,18,3,115,4864
0.1,0.4,1,47,28,86,4839
0.1,0.4,5,13,5,120,4862
0.1,0.4,20,8,0,125,4867
0.1,0.6,1,20,5,113,4862
0.1,0.6,5,6,0,127,4867
0.1,0.6,20,4,0,129,4867
0.3,0.2,1,133,83,0,4784
0.3,0.2,5,46,14,87,4853
0.3,0.2,20,33,1,100,4866
0.3,0.4,1,99,25,34,4842
0.3,0.4,5,32,4,101,4863
0.3,0.4,20,22,0,111,4867
0.3,0.6,1,76,8,57,4859
0.3,0.6,5,24,2,109,4865
0.3,0.6,20,17,0,116,4867
0.6,0.2,1,133,35,0,4832
0.6,0.2,5,47,1,86,4866
0.6,0.2,20,33,0,100,4867
0.6,0.4,1,133,0,0,4867
0.6,0.4,5,47,0,86,4867
0.6,0.4,20,33,0,100,4867
0.6,0.6,1,133,0,0,4867
0.6,0.6,5,47,0,86,4867
0.6,0.6,20,33,0,100,4867
latency_short,mistral-small3.2:24b,15.53,10.8,24,,,
latency_short,qwen2.5:14b,10.17,43.6,39,,,
latency_classify_15,mistral-small3.2:24b,83.64,9.2,600,,,
latency_classify_15,qwen2.5:14b,27.16,36.3,600,,,
latency_ratio,qwen2.5:14b/mistral-small3.2:24b,,,,speed_ratio,3.08,faster=qwen2.5:14b
classify_net,mistral-small3.2:24b,95.66,7.7,621,,,
classify_net,qwen2.5:14b,28.39,35.4,624,,,
classify_net,mistral-small3.2:24b,,,,classification_accuracy,0.400,correct=4/10
classify_okta,mistral-small3.2:24b,75.16,8.1,485,,,
classify_okta,qwen2.5:14b,27.02,41.8,721,,,
classify_okta,mistral-small3.2:24b,,,,classification_accuracy,0.500,correct=5/10
classify_ep,mistral-small3.2:24b,94.47,9.4,737,,,
classify_ep,qwen2.5:14b,27.83,40.3,680,,,
classify_ep,mistral-small3.2:24b,,,,classification_accuracy,0.500,correct=5/10
mitre_coverage,mistral-small3.2:24b,91.25,9.3,700,,,
mitre_coverage,qwen2.5:14b,30.16,34.9,700,,,
mitre_coverage,mistral-small3.2:24b,,,,mitre_coverage,0.667,
mitre_coverage,qwen2.5:14b,,,,mitre_coverage,0.667,
cluster_separation,mistral-small3.2:24b,43.52,8.0,236,,,
cluster_separation,qwen2.5:14b,25.00,39.8,566,,,
cluster_separation,mistral-small3.2:24b,,,,same_actor_wrong,False,confidence=0.80
cluster_separation,qwen2.5:14b,,,,same_actor_wrong,False,confidence=0.75
persona_coherence,mistral-small3.2:24b,,,,persona_differentiation,"soc=True,ciso=True,overlap=0.26",
persona_coherence,qwen2.5:14b,,,,persona_differentiation,"soc=True,ciso=True,overlap=0.33",
subtask_phantom_meridian,mistral-small3.2:24b,46.36,9.5,299,,,
subtask_phantom_meridian,qwen2.5:14b,15.95,41.8,238,,,
subtask_harbourside_bec,mistral-small3.2:24b,47.72,9.7,322,,,
subtask_harbourside_bec,qwen2.5:14b,15.67,42.4,239,,,
hopgraph_ja3,mistral-small3.2:24b,67.16,9.3,494,,,
hopgraph_ja3,qwen2.5:14b,24.38,42.1,587,,,
hopgraph_cross_source,mistral-small3.2:24b,56.17,9.3,400,,,
hopgraph_cross_source,qwen2.5:14b,19.39,42.0,400,,,
